タイトル,読み仮名,カテゴリ,時期,関係する人物,短い説明（一覧用）,タグ,本文,情報源(任意),備考(任意)
新生初陣9-2,しんせいういじんきゅうたいに,事件・出来事,KWCC2026イタリア・第1戦,ムラッシュFC、Zebras FC,常設化後初の国際試合で、Zebras FCを9-2で破った新生チームの船出,#事件 #KWCC2026 #イタリア #Zebras #新生ムラッシュ #9対2,太田宏介監督のもとで常設化した新生ムラッシュFCが、初めて世界の舞台へ登場した試合。Zebras FCを相手に9得点を奪い、9-2という大差で新体制の初陣を勝利で飾った。,"https://www.murash.win/kwcc2026/
https://x.com/MurashSports/status/2082132641370046733
https://www.youtube.com/watch?v=U3ocbTrecoI",公開推奨：高／公式結果で確認済み
国際試合7連敗脱出,こくさいじあいななれんぱいだっしゅつ,事件・出来事,KWCC2026イタリア・第1戦,ムラッシュFC,ブラジル大会まで続いていた国際試合の連敗を、新生初戦で止めた,#事件 #KWCC2026 #連敗脱出 #7連敗 #新生ムラッシュ,過去の世界大会で続いていた国際試合7連敗を、新生ムラッシュFCが初戦でストップ。公式ドキュメンタリーでも「国際試合連敗脱出」と題され、常設化の成果を最初の試合で示した。,"https://www.youtube.com/watch?v=XYLPkddXB6Q
https://www.murash.win/",公開推奨：高／7連敗の起点は既存大会データと照合推奨
太田監督、初陣初勝利,おおたかんとくういじんはつしょうり,事件・出来事,KWCC2026イタリア・第1戦,太田宏介,監督として世界デビューした太田宏介が、初戦を9-2の勝利で飾った,#事件 #太田宏介 #監督 #初陣 #初勝利 #KWCC2026,新生ムラッシュFCの指揮官に就任した太田宏介にとって、Zebras FC戦はキングスリーグ監督としての世界デビュー戦。その初采配を9-2の大勝で終え、初陣初勝利を記録した。,"https://x.com/MurashSports/status/2082132641370046733
https://www.youtube.com/watch?v=U3ocbTrecoI",公開推奨：高／公式結果で確認済み
1分宮内弾,いっぷんみやうちだん,事件・出来事,KWCC2026イタリア・第1戦,宮内俊輔,試合開始直後の1分、新生ムラッシュ最初の国際ゴールを決めた,#事件 #宮内俊輔 #先制点 #1分 #Zebras #KWCC2026,Zebras FC戦の開始1分、宮内俊輔が先制ゴール。常設チームとして臨んだ初の国際試合で、チームに勢いを与える最初の一撃となった。,"https://x.com/MurashSports/status/2082105098415538350
https://www.youtube.com/watch?v=U3ocbTrecoI",公開推奨：高／公式ゴール速報で確認済み
完璧なプレジデントPK,かんぺきなぷれじでんとぴーけー,事件・出来事,KWCC2026イタリア・第1戦,加藤純一,初戦で加藤純一が決めた、ABEMAにも『完璧』と評されたプレジデントPK,#事件 #加藤純一 #プレジデントPK #PK #KWCC2026,Zebras FC戦では、プレジデントの加藤純一もPKで得点。相手GKの逆を突いてゴール左へ決め、ABEMAの速報でも「完璧なプレジデントPK」と紹介された。,"https://abema.tv/video/episode/817-1_s10_p308
https://x.com/ABEMA_soccer
https://www.youtube.com/watch?v=F4oTLxu2-7k",公開推奨：高／ABEMA映像で時刻確認するとより強い
なかしゅんハットトリック,なかしゅんはっととりっく,事件・出来事,KWCC2026イタリア・第1戦,中村駿介,中村駿介が新生初戦で3得点を奪い、攻撃の中心として躍動した,#事件 #中村駿介 #なかしゅん #ハットトリック #Zebras,Zebras FC戦で中村駿介がハットトリックを達成。ボールを動かす司令塔としてだけでなく、ゴール前でも結果を残し、9得点の攻撃を牽引した。,"https://www.youtube.com/watch?v=U3ocbTrecoI
https://www.youtube.com/watch?v=F4oTLxu2-7k
https://x.com/MurashSports/status/2082132641370046733",公開推奨：高／公式映像と複数の試合評で確認済み
前監督、選手としてハットトリック,ぜんかんとくせんしゅとしてはっととりっく,事件・出来事,KWCC2026イタリア・第1戦,中村駿介,ブラジル大会で監督を務めた中村駿介が、今度は選手として3得点,#事件 #中村駿介 #前監督 #ハットトリック #選手復帰,前回のブラジル大会では監督としてチームを率いた中村駿介。新生チームでは再び選手へ戻り、最初の国際試合でいきなりハットトリックを記録した。,"https://www.youtube.com/watch?v=U3ocbTrecoI
https://www.murashfc-fan.com/players/nakamura",公開推奨：高／タイトルは本サイト独自の編集呼称
木戸のニアぶち抜き,きどのにあぶちぬき,事件・出来事,KWCC2026イタリア・第1戦,木戸皓貴,試合最後、木戸皓貴がニアサイドを撃ち抜いて大勝を締めた,#事件 #木戸皓貴 #ニア #ゴール #試合終了 #Zebras,9-2で迎えた試合終盤、元アビスパ福岡の木戸皓貴がニアサイドを豪快に撃ち抜いた。このゴールを最後に試合が終了し、新生ムラッシュFCの初勝利が確定した。,"https://x.com/ABEMA_soccer/status/2082121308251595037
https://www.youtube.com/watch?v=U3ocbTrecoI
https://www.youtube.com/watch?v=F4oTLxu2-7k",公開推奨：高／ABEMA速報で確認済み
ここから新しい歴史が始まる,ここからあたらしいれきしがはじまる,セリフ,KWCC2026イタリア・第1戦,ABEMA実況・放送席、ムラッシュFC,新生初勝利を決めた直後、ABEMAの速報で添えられた象徴的な言葉,#セリフ #新生ムラッシュ #歴史 #初勝利 #ABEMA,木戸皓貴のゴールで9-2の勝利が決まった場面に添えられた「ここから新しい歴史が始まる！」という言葉。常設化後の初陣を象徴するフレーズとなった。,"https://x.com/ABEMA_soccer/status/2082121308251595037
https://abema.tv/video/episode/817-1_s10_p308",要確認：放送内の実況発言か、ABEMA投稿文のみかを確認
7-0完封,ななたいぜろかんぷう,事件・出来事,KWCC2026イタリア・第2戦,ムラッシュFC、GEAR 7 FC,第2戦でGEAR 7 FCに7得点を奪い、無失点で完勝した,#事件 #KWCC2026 #GEAR7 #7対0 #完封 #イタリア,第2戦のGEAR 7 FC戦は、ムラッシュFCが7-0で勝利。攻撃で7得点を重ねるだけでなく最後まで失点を許さず、新生チームの守備力も示した。,"https://x.com/MurashSports
https://abema.tv/live-event/fa589e6f-4e35-4157-ba6d-564624a9256b
https://www.youtube.com/watch?v=XNHsHq-ByS8",公開推奨：高／公式結果投稿・試合映像で最終確認
