順番,メキシコ大会,イタリア大会,フランス大会,ブラジル大会,トライアウト
1,https://youtu.be/q9jAd2lW6bc?si=pfP7PUIKBuObnf6q,https://youtu.be/9PhjCO3W1sg?si=lKquZfCsW_v8KtrC,https://youtu.be/ZAJNJbE1bfo?si=-EWSMdsHL6qViQ6V,https://youtu.be/576Ii7T31is?si=HtYokJKW-y9g7m1s,https://youtu.be/0vJ9Un258h4?si=ZH-DpXuFrVtTrpu2
2,https://youtu.be/PqcrOuNW1Yg?si=P4TCjt_BC-VpXpEs,https://youtu.be/cOeqbaz8Vhc?si=WgKYAnDN-Llrax7Y,https://youtu.be/F4FQBM4ZRp0?si=PU2vIoaNoKtqjKGb,https://youtu.be/mRAyMKyOa5Q?si=NrF86Mol5THpyMHy,https://youtu.be/Gf0_6jmCWV4?si=NPot2iqqOErOujkK
3,https://youtu.be/unH6_bc1NzI?si=E033d7vOiWDlpfHI,https://youtu.be/IlCSUyQNSEA?si=A-NIkftkDFOOXCZI,https://youtu.be/LozC3hYB3Vg?si=frCESClILlBIz1eK,https://youtu.be/a1EJ0gxdb8k?si=FnLTdYI-pLT8tTO7,https://youtu.be/f4ULzc8ocW0?si=Yv0dxAezMTSueGca
4,https://youtu.be/n8o5QFViGQA?si=inBQOaG1b3h5UpT_,https://youtu.be/9DDjMo3gUjU?si=nHvUSHr-kLDoBj48,https://youtu.be/2abjQfmFKOc?si=d_qFyzz1FdqOvCN3,https://youtu.be/p96wKQApnPI?si=kNEHS5fNTeG3Yawi,https://youtu.be/hnTJurJSNOA?si=R8Pw-3S0lrdGJZ0z
5,https://youtu.be/BwO3K0DW1Pc?si=VWGMJvnqN3SwlDty,https://youtu.be/EX1a7mzbEl8?si=PwoQnfl8FF16TR48,https://youtu.be/bH1WeApx8CE?si=yvc9GfMPv2pIH8pI,https://youtu.be/0b37fKrHEHM?si=ACbatQ-_dbjXQrf0,https://youtu.be/3I-OD6K5Bhg?si=2As0FRhtg92pcq41
6,https://youtu.be/-iMrYcqYe-E?si=81PbC2oY5pJ-rycO,https://youtu.be/kDHP4pfSMTY?si=kaNVhQ6ZIBdeYQWP,https://youtu.be/9vmZhZ3jqdA?si=AKsQyuVRlZWLT4Gd,https://youtu.be/qklARO8Haho?si=aUoiD9AlyQmzigRp,https://youtu.be/1YlPlappI7M?si=TyvBXt0wamlpZkNU
7,https://youtu.be/amOTDWZ9Sao?si=EUiy_dBsy0yOXo0S,https://youtu.be/crrn6wchDyY?si=QMCy8o4HO6RnBZ-s,https://youtu.be/L1UwGVOX_fQ?si=gqEvsFxhuizKv0Bb,https://youtu.be/aozIm43lK0M?si=PTIdxgX4Lvfonvyb,https://youtu.be/FFh4bNTJ4jo?si=2S1yO5Vd2THoWmKn
8,,https://youtu.be/z8S6RTznexs?si=24eZ6wp4croFj4Vn,https://youtu.be/b1EO512kGy0?si=AJo_MZKZTl40kJb7,https://youtu.be/ymtIiA7a7vY?si=oiefZ7TyumoRPsZB,https://youtu.be/puB31JYVdnA?si=YIzUBQTG_V7raHyY
9,,https://youtu.be/tN6A5wloMYI?si=1yv-7Tmj0TNDZgGp,https://youtu.be/3ngrSqMwGkQ?si=GbzchLPUHGkzMVyz,https://youtu.be/EnaqMXwTh9M?si=20D05m-PGzzzaXwl,https://youtu.be/qqDKvwCDA8w?si=aSdYV5OPBoykz17I
10,,https://youtu.be/StPvW1lTqWI?si=E3W8Ji_2DEgIT2tJ,https://youtu.be/xNhKL2GhAns?si=4m8uSuYsgs3g8L3t,https://youtu.be/2s5CIvwwhB8?si=7kiLWpBzMMnCDv6N,https://youtu.be/rpn4uhqGSpc?si=QiM6vV9DNGoCvC0e
11,,https://youtu.be/H6EQUNhKT8g?si=cBSaSIskiN7LTAyy,https://youtu.be/mtSYkR4787A?si=n_6UhkC278T6-XWW,https://youtu.be/YVMmVfo1_Xk?si=XiYJDGds5vEXmhiw,https://youtu.be/6Ym9TpxZJjs?si=yRKlbzTyY5pI0D9q
12,,https://youtu.be/pvFoJPy6JPQ?si=v__JvFHkXcGxEFSV,https://youtu.be/fjVMKH9ZpKg?si=MOHH5-S41FlHWdys,https://youtu.be/r6OlmHxy1mI?si=sJxKy63Cilnof-EF,https://www.youtube.com/live/nOvS_g-oFv8?si=pKh4t-PPUp4CB9tY
13,,https://youtu.be/H_A8jkJQD-Y?si=1Piy-j_nE9eGB7be,https://youtu.be/2qOVHP9w8c4?si=Pr34dH0VhggrwmnN,https://youtu.be/VUWoYSU85Qo?si=6HKqo28HUDTuGsFA,
14,,,https://youtu.be/-ClFyTBSPbE?si=f24BkY95NNTGG67r,https://youtu.be/WLq1uZirTeU?si=MBO2Lid5sG5LyduG,
15,,,https://youtu.be/EEGGMdUcJA0?si=2woCvbiKaK85Lmon,https://youtu.be/LbQXmlm_QGs?si=vU3YcYPvSKQymRQ_,
16,,,,https://youtu.be/182KawOkbPI?si=X55Deg2VcvDV_68R,
17,,,,https://youtu.be/0TjGAWOgaFI?si=G5Wuqcv6ztqcfYwE,
18,,,,https://youtu.be/ZQBE9rnvuQ0?si=rjQYx5rGeVS1XT8W,
19,,,,https://youtu.be/OOH36-G3c90?si=zUsJ7rXcma1wIajy,
20,,,,https://youtu.be/CEa03vw0Zsk?si=_GyHQq6qu3tfM9Hy,
